state,Rates
Alabama,6.50%
Alaska,9.40%
Arizona,6.00%
Arkansas,6.50%
California,8.84%
Colorado,4.63%
Connecticut,9.00%
Delaware,8.70%
district of columbia ,9.40%
Florida,5.50%
Georgia,6.00%
Hawaii,6.40%
Idaho,7.40%
Illinois,7.75%
Indiana,7.00%
Iowa,12.00%
Kansas,7.00%
Kentucky,6.00%
Louisiana,8.00%
Maine,8.93%
Maryland,8.25%
Massachusetts,8.00%
Michigan,6.00%
Minnesota,9.80%
Mississippi,5.00%
Missouri,6.25%
Montana,6.75%
Nebraska,7.81%
Nevada,
New Hampshire,8.50%
New Jersey,9.00%
New Mexico,6.90%
New York,7.10%
North Carolina,5.00%
North Dakota,4.53%
Ohio,
Oklahoma,6.00%
Oregon,7.60%
Pennsylvania,9.99%
Rhode Island,7.00%
South Carolina,5.00%
South Dakota,
Tennessee,6.50%
Texas,
Utah,5.00%
Vermont,8.50%
Virginia,6.00%
Washington,
West Virginia,6.50%
Wisconsin,7.90%
Wyoming,
